,title,description,publishedAt
731,US election: Tensions escalate in some areas ahead of Election Day - CNN Video,"Tensions are escalating in some areas across the country with stores boarding up in anticipation of protests ahead of Election Day. CNN's Laura Jarrett reports the Secret Service is taking measures to add back a ""non-scalable"" fence around the White House.",2020-11-02
732,Bad weather is one problem the 2020 election won't have - CNN,The weather will mostly be dry and warm for a vast majority of the country—good news for those who have waited to brave the outdoor lines on election day. And possibly good news for Democrats.,2020-11-02
733,Biden closes out his campaign in Pennsylvania - CNNPolitics,"Joe Biden closed his presidential campaign Monday night in Pennsylvania, lambasting President Donald Trump's handling of the coronavirus pandemic and promising to unite a country in crisis if he wins Tuesday.",2020-11-03
734,"Gunmen kill 32, burn houses in attack in Ethiopia - CNN","Gunmen have killed 32 people and torched more than 20 houses in a raid in western Ethiopia, a regional administrator said on Monday.",2020-11-03
735,US election 2020: Security officials are on high alert to protect voting (opinion)  - CNN,"The United States faces a dizzying range of threats this election week, writes Samantha Vinograd. Cyberattacks against election infrastructure are ongoing, there are physical threats like violent voter intimidation and law enforcement agencies are hamstrung by Donald Trump's domestic disinformation campaigns.",2020-11-03
736,Biden closes out his campaign in Pennsylvania - CNNPolitics,"Joe Biden closed his presidential campaign Monday night in Pennsylvania, lambasting President Donald Trump's handling of the coronavirus pandemic and promising to unite a country in crisis if he wins Tuesday.",2020-11-03
737,"Gunmen kill 32, burn houses in attack in Ethiopia - CNN","Gunmen have killed 32 people and torched more than 20 houses in a raid in western Ethiopia, a regional administrator said on Monday.",2020-11-03
738,US election 2020: Security officials are on high alert to protect voting (opinion)  - CNN,"The United States faces a dizzying range of threats this election week, writes Samantha Vinograd. Cyberattacks against election infrastructure are ongoing, there are physical threats like violent voter intimidation and law enforcement agencies are hamstrung by Donald Trump's domestic disinformation campaigns.",2020-11-03
739,Biden closes out his campaign in Pennsylvania - CNNPolitics,"Joe Biden closed his presidential campaign Monday night in Pennsylvania, lambasting President Donald Trump's handling of the coronavirus pandemic and promising to unite a country in crisis if he wins Tuesday.",2020-11-03
740,"Mueller investigated -- but didn't charge -- Stone, WikiLeaks and Assange for Russian hack of Democrats in 2016, less-redacted report shows - CNNPolitics","The Justice Department released a less-redacted version of special counsel Robert Mueller's 2019 report on Monday, lifting redactions on a handful of pages about the intersection of Roger Stone, WikiLeaks and the Russian hack of the Democrats.",2020-11-03
741,"Mueller investigated -- but didn't charge -- Stone, WikiLeaks and Assange for Russian hack of Democrats in 2016, less-redacted report shows - CNNPolitics","The Justice Department released a less-redacted version of special counsel Robert Mueller's 2019 report on Monday, lifting redactions on a handful of pages about the intersection of Roger Stone, WikiLeaks and the Russian hack of the Democrats.",2020-11-03
742,US election 2020: Security officials are on high alert to protect voting (opinion)  - CNN,"The United States faces a dizzying range of threats this election week, writes Samantha Vinograd. Cyberattacks against election infrastructure are ongoing, there are physical threats like violent voter intimidation and law enforcement agencies are hamstrung by Donald Trump's domestic disinformation campaigns.",2020-11-03
743,Marco Rubio shows support for Trump caravan that forced Biden bus off the road. See how a former GOP governor responded - CNN Video,Former Republican governor of Ohio John Kasich and CNN's Don Lemon react to a comment by Senator Marco Rubio (R-FL) at a Trump rally where he referenced a caravan of Trump supporters who surrounded a Joe Biden campaign bus in what a Biden campaign official described as an attempt to run the bus off the road. The FBI is currently looking into the incident. ,2020-11-03
744,Watch Don Lemon's message the night before 2020 election - CNN Video,CNN's Don Lemon discusses the importance of the 2020 presidential election between President Trump and Democratic nominee Joe Biden when the country is in a pandemic and deeply divided.,2020-11-03
745,Kendall Jenner's party sets off social media criticism - CNN Video,Critics are calling out Kendall Jenner after social media images from her 25th birthday party showed a lack of social distancing.,2020-11-03
746,"Election 2020: News, polls and results","Election Day is November 3, 2020. View the latest US election news, polls, results and voter information.",2020-11-03
